Row	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
390	0BrbPbwCMz	Unit ES_04, Section ES_04-15	LIT59	1	b+r*(x+y) = v-s	2005-10-05 12:45:31.0	2005-10-05 12:45:46.0	2005-10-05 12:45:46.0	2005-10-05 12:45:46.0	15	15		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	77
717	0BrbPbwCMz	Unit CTA1_10, Section CTA1_10-5	DIST05_SP	1	R7C1	2005-10-21 12:50:22.0	2005-10-21 12:50:28.0	2005-10-21 12:50:28.0	2005-10-21 12:50:28.0	6	6		1	0	0	1	Using small numbers~~Find X, positive slope~~Using difficult numbers	36~~33~~33
803	0BrbPbwCMz	Unit ES_07, Section ES_07-2	LIT50A	1	m*(k-n) = g*s	2005-10-28 12:21:02.0	2005-10-28 12:21:17.0	2005-10-28 12:21:17.0	2005-10-28 12:21:17.0	15	15		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	88
881	19UbXBlPPK	Unit CTA1_01, Section CTA1_01-2	BH1T17	1	R5C2	2005-09-09 12:50:28.0	2005-09-09 12:50:46.0	2005-09-09 12:50:46.0	2005-09-09 12:50:46.0	18	18		1	0	0	1	Find Y, Simple~~Using simple numbers~~Using large numbers	12~~17~~2
1190	2oNLCndtam	Unit CTA1_12, Section CTA1_12-4	SYSFB23	1	R3C1	2005-09-21 12:40:51.0	2005-09-21 12:40:53.0	2005-09-21 12:40:53.0	2005-09-21 12:40:53.0	2	2		1	0	0	1	Define Variable	10
1547	2oNLCndtam	Unit ES_05, Section ES_05-8	EG61	10	-9.91y-6.3 = -2.13	2005-09-30 12:18:00.0	2005-09-30 12:18:05.0	2005-09-30 12:18:05.0	2005-09-30 12:18:05.0	5	5		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	65~~21
2111	2oNLCndtam	Unit CTA1_14, Section CTA1_14-4	2PTFB18	1	25X = 0	2005-10-28 12:32:04.0	2005-10-28 12:32:08.0	2005-10-28 12:32:08.0	2005-10-28 12:32:08.0	4	4		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	80~~156
2368	2oNLCndtam	Unit LINEAR-INEQUALITY-GRAPHING, Section LINEAR-INEQUALITY-GRAPHING-2	X-3YGE20	1	GraphChoice1	2005-11-09 12:23:07.0	2005-11-09 12:23:16.0	2005-11-09 12:23:16.0	2005-11-09 12:23:16.0	9	9		1	0	0	1		
2697	2oNLCndtam	Unit CTA1_15, Section CTA1_15-3	SYSFB10	1	60X = 3500	2005-11-18 12:37:15.0	2005-11-18 12:37:19.0	2005-11-18 12:37:19.0	2005-11-18 12:37:19.0	4	4		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	100~~206
2982	2oNLCndtam	Unit QUAD-ADD-AREA-ALG1, Section QUAD-ADD-AREA-ALG1-1	NEWSQUARE8TRE	1	R5C1	2005-12-09 13:17:14.0	2005-12-09 13:17:18.0	2005-12-09 13:17:18.0	2005-12-09 13:17:18.0	4	4		1	0	0	1	Entering a given~~Entering a given linear value	211~~11
3256	2oNLCndtam	Unit QUADRATICS-FACTORING_ES, Section QUADRATICS-FACTORING_ES-2	EG-FACTOR25	1	c-factor-2	2006-01-04 12:16:06.0	2006-01-04 12:16:07.0	2006-01-04 12:16:11.0	2006-01-04 12:20:02.0	11		11	0	2	0	3		
3742	2oNLCndtam	Unit QUADRATICS-SOLVING_ES, Section QUADRATICS-SOLVING_ES-1	EG-S-FACTOR10	1	(9+sqrt(9^2-56))/2 = x	2006-01-25 12:50:48.0	2006-01-25 12:50:52.0	2006-01-25 12:50:52.0	2006-01-25 12:50:52.0	4	4		1	0	0	1	[SkillRule: Apply Exponent; {Expand Exponents; eval radical; Expand Exponents, radical}]	61
4170	2oNLCndtam	Unit QUAD-VERTICAL-MOTION, Section QUAD-VERTICAL-MOTION-1	NEWQUAD11TRE	1	R4C1	2006-03-08 12:18:56.0	2006-03-08 12:19:04.0	2006-03-08 12:19:04.0	2006-03-08 12:19:04.0	8	8		1	0	0	1	Entering a given~~Entering a given linear value	281~~45
4457	2oNLCndtam	Unit EXPT-PRODUCT-SIMP-A_ES, Section EXPT-PRODUCT-SIMPLIFYING-A_ES-3	EG-EPS01	3	constant factors1R1	2006-03-24 12:30:01.0	2006-03-24 12:30:02.0	2006-03-24 12:30:02.0	2006-03-24 12:30:02.0	1	1		1	0	0	1		
4848	2oNLCndtam	Unit EXPT-QUOTIENT-SIMP-A_ES, Section EXPT-QUOTIENT-SIMPLIFYING-A_ES-3	EG-EQS02	3	row1-N-x	2006-04-19 12:31:20.0	2006-04-19 12:31:25.0	2006-04-19 12:31:25.0	2006-04-19 12:31:25.0	5	5		1	0	0	1		
5092	2oNLCndtam	Unit CTA1_20, Section CTA1_20-2	2PTFB20	1	1.75X = 219.21	2006-05-03 12:40:10.0	2006-05-03 12:40:14.0	2006-05-03 12:40:14.0	2006-05-03 12:40:14.0	4	4		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	127~~244
5408	2oNLCndtam	Unit CTA1_21, Section CTA1_21-3	JAN07	1	R1C2	2006-05-17 12:47:50.0	2006-05-17 12:47:57.0	2006-05-17 12:47:57.0	2006-05-17 12:47:57.0	7	7		1	0	0	1		
5670	2oNLCndtam	Unit CTA1_22, Section CTA1_22-1	SYS08	1	R3C1	2006-06-05 12:51:33.0	2006-06-05 12:51:35.0	2006-06-05 12:51:35.0	2006-06-05 12:51:35.0	2	2		1	0	0	1	Define Variable	122
5827	46z59pQP58	Unit CTA1_01, Section CTA1_01-3	BH1T34A	1	R1C1	2005-09-16 12:31:38.0	2005-09-16 12:31:46.0	2005-09-16 12:31:46.0	2005-09-16 12:31:46.0	8	8		1	0	0	1		
6061	46z59pQP58	Unit CTA1_02, Section CTA1_02-2	BH1T21A	2	YUnit	2005-09-29 12:51:30.0	2005-09-29 12:51:51.0	2005-09-29 12:52:05.0	2005-09-29 12:52:05.0	35		35	0	2	0	1		
6400	46z59pQP58	Unit ES_01, Section ES_01-9	EG25	1	y/9 = 7	2005-10-14 12:32:33.0	2005-10-14 12:32:46.0	2005-10-14 12:32:46.0	2005-10-14 12:32:46.0	13	13		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	12~~19
6662	46z59pQP58	Unit CTA1_04, Section CTA1_04-4	L5FB04B	1	R5C1	2005-10-26 12:39:04.0	2005-10-26 12:39:27.0	2005-10-26 12:39:27.0	2005-10-26 12:39:27.0	23	23		1	0	0	1	Entering a given	165
6870	46z59pQP58	Unit ES_02, Section ES_02-6	EG40	2	6/7 = 7x/7	2005-11-02 12:29:39.0	2005-11-02 12:29:48.0	2005-11-02 12:29:52.0	2005-11-02 12:30:06.0	27		27	0	1	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	8
7112	46z59pQP58	Unit CTA1_13, Section CTA1_13-1	PROP01	1	R7C2	2005-11-09 12:30:30.0	2005-11-09 12:30:34.0	2005-11-09 12:30:34.0	2005-11-09 12:30:34.0	4	4		1	0	0	1	Entering a given	205
7618	46z59pQP58	Unit CTA1_06, Section CTA1_06-5	FBSMR1	1	15X = 3.75	2005-11-29 12:33:53.0	2005-11-29 12:34:04.0	2005-11-29 12:34:04.0	2005-11-29 12:34:04.0	11	11		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	94~~139
7971	46z59pQP58	Unit ES_03, Section ES_03-8	LIT10A	1	constant terms1R1	2005-12-14 12:48:53.0	2005-12-14 12:48:55.0	2005-12-14 12:49:05.0	2005-12-14 12:49:05.0	7		7	0	2	0	1		
8220	46z59pQP58	Unit CTA1_08, Section CTA1_08-3	DEC04	2	YLabel	2006-01-11 12:18:12.0	2006-01-11 12:18:44.0	2006-01-11 12:18:44.0	2006-01-11 12:18:44.0	32	32		1	0	0	1	Labelling the axes	97
8595	46z59pQP58	Unit ES_04, Section ES_04-13	LIT33	1	17/w*w = b*w	2006-02-01 12:35:40.0	2006-02-01 12:35:46.0	2006-02-01 12:35:46.0	2006-02-01 12:35:46.0	6	6		1	0	0	1		
9098	46z59pQP58	Unit CTA1_10, Section CTA1_10-3	DISTFB06_SP	1	0.3(X-100000) = 1000000	2006-03-22 12:57:07.0	2006-03-22 12:57:16.0	2006-03-22 12:57:16.0	2006-03-22 12:57:16.0	9	9		1	0	0	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	111
9887	46z59pQP58	Unit ES_07, Section ES_07-6	LIT78A	6	di-expr	2006-06-01 12:24:43.0	2006-06-01 12:24:46.0	2006-06-01 12:24:46.0	2006-06-01 12:26:00.0	6	6		1	0	0	2		
9932	46z59pQP58	Unit CTA1_12, Section CTA1_12-1	LDEMO_SYS	2	R4C2	2006-06-05 12:45:43.0	2006-06-05 12:46:44.0		2006-06-05 12:46:44.0	61		61	0	1	0	0	Using simple numbers~~Using large numbers~~Find Y, positive slope	256~~147~~50
10039	52vEY7f17k	Unit CTA1_13, Section CTA1_13-1	PROP01	1	2/300*X = 10	2005-09-14 12:42:05.0	2005-09-14 12:42:08.0	2005-09-14 12:42:08.0	2005-09-14 12:42:08.0	3	3		1	0	0	1		
10482	52vEY7f17k	Unit CTA1_06, Section CTA1_06-3	FOR05	1	xScale	2005-09-30 12:39:38.0	2005-09-30 12:39:41.0	2005-09-30 12:39:41.0	2005-09-30 12:39:44.0	6	6		1	0	0	2	Changing axis intervals	28
11024	52vEY7f17k	Unit ES_03, Section ES_03-6	EG52	1	2.9 = -2x+3.7+x	2005-10-26 12:20:24.0	2005-10-26 12:20:27.0	2005-10-26 12:20:27.0	2005-10-26 12:21:11.0	11	11		1	0	0	2	[SkillRule: Consolidate vars, no coeff; CLT]	27
11476	52vEY7f17k	Unit CTA1_08, Section CTA1_08-3	REAL10	1	yScale	2005-11-16 12:28:36.0	2005-11-16 12:28:38.0	2005-11-16 12:28:38.0	2005-11-16 12:28:38.0	2	2		1	0	0	2	Changing axis intervals	65
11948	52vEY7f17k	Unit ES_04, Section ES_04-12	EG58	7	xR2	2006-01-13 12:23:25.0	2006-01-13 12:23:31.0	2006-01-13 12:23:31.0	2006-01-13 12:23:31.0	6	6		1	0	0	1		
12532	52vEY7f17k	Unit CTA1_10, Section CTA1_10-5	DIST05_SP	1	R1C2	2006-03-24 12:26:00.0	2006-03-24 12:26:05.0	2006-03-24 12:26:19.0	2006-03-24 12:26:19.0	13		13	0	1	0	1		
12955	52vEY7f17k	Unit ES_07, Section ES_07-4	LIT69A	4	z*u-n*j+z*g = 16n	2006-05-22 12:50:30.0	2006-05-22 12:51:04.0		2006-05-22 12:51:04.0	34		34	0	0	1	0	[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]	42
